,date,total_admissions,admissions_white,admissions_white_rate,admissions_black,admissions_black_rate,admissions_hispanic,admissions_hispanic_rate,admissions_amerind,admissions_amerind_rate,admissions_asian,admissions_asian_rate,admissions_other,admissions_other_rate,state,month,year
0,2015-02-01,1583,600,37.9,193,12.19,633,39.99,130,8.21,6,0.38,21,1.33,Arizona,February,2015
1,2015-03-01,1580,615,38.92,189,11.96,640,40.51,114,7.22,3,0.19,19,1.2,Arizona,March,2015
2,2015-04-01,1779,706,39.69,235,13.21,701,39.4,115,6.46,4,0.22,18,1.01,Arizona,April,2015
3,2015-05-01,1821,730,40.09,260,14.28,669,36.74,125,6.86,8,0.44,29,1.59,Arizona,May,2015
4,2015-06-01,1689,704,41.68,215,12.73,618,36.59,129,7.64,0,0.0,23,1.36,Arizona,June,2015
5,2015-07-01,1871,758,40.51,223,11.92,738,39.44,121,6.47,5,0.27,26,1.39,Arizona,July,2015
6,2015-08-01,1784,760,42.6,206,11.55,670,37.56,119,6.67,6,0.34,23,1.29,Arizona,August,2015
7,2015-09-01,1623,659,40.6,177,10.91,629,38.76,123,7.58,8,0.49,27,1.66,Arizona,September,2015
8,2015-10-01,1673,673,40.23,236,14.11,636,38.02,102,6.1,8,0.48,18,1.08,Arizona,October,2015
9,2015-11-01,1780,734,41.24,205,11.52,696,39.1,110,6.18,10,0.56,25,1.4,Arizona,November,2015
10,2015-12-01,1526,550,36.04,219,14.35,626,41.02,88,5.77,2,0.13,41,2.69,Arizona,December,2015
11,2016-01-01,1569,614,39.13,199,12.68,588,37.48,133,8.48,4,0.25,31,1.98,Arizona,January,2016
12,2016-02-01,1547,618,39.95,205,13.25,577,37.3,118,7.63,5,0.32,24,1.55,Arizona,February,2016
13,2016-03-01,1449,581,40.1,198,13.66,520,35.89,122,8.42,2,0.14,26,1.79,Arizona,March,2016
14,2016-04-01,1660,672,40.48,179,10.78,631,38.01,137,8.25,7,0.42,34,2.05,Arizona,April,2016
15,2016-05-01,1627,657,40.38,176,10.82,649,39.89,123,7.56,3,0.18,19,1.17,Arizona,May,2016
16,2016-06-01,1608,621,38.62,190,11.82,630,39.18,132,8.21,6,0.37,29,1.8,Arizona,June,2016
17,2016-07-01,1615,648,40.12,180,11.15,634,39.26,116,7.18,6,0.37,31,1.92,Arizona,July,2016
18,2016-08-01,1457,600,41.18,179,12.29,532,36.51,113,7.76,6,0.41,27,1.85,Arizona,August,2016
19,2016-09-01,1474,616,41.79,186,12.62,530,35.96,112,7.6,8,0.54,22,1.49,Arizona,September,2016
20,2016-10-01,1583,622,39.29,215,13.58,613,38.72,99,6.25,5,0.32,29,1.83,Arizona,October,2016
21,2016-11-01,1478,604,40.87,196,13.26,538,36.4,108,7.31,5,0.34,27,1.83,Arizona,November,2016
22,2016-12-01,1327,534,40.24,186,14.02,487,36.7,89,6.71,6,0.45,25,1.88,Arizona,December,2016
23,2017-01-01,1463,573,39.17,208,14.22,541,36.98,105,7.18,8,0.55,28,1.91,Arizona,January,2017
24,2017-02-01,1461,532,36.41,189,12.94,589,40.31,121,8.28,4,0.27,26,1.78,Arizona,February,2017
25,2017-03-01,1379,523,37.93,152,11.02,552,40.03,124,8.99,4,0.29,24,1.74,Arizona,March,2017
26,2017-04-01,1782,689,38.66,212,11.9,714,40.07,122,6.85,3,0.17,42,2.36,Arizona,April,2017
27,2017-05-01,1510,600,39.74,194,12.85,567,37.55,117,7.75,3,0.2,29,1.92,Arizona,May,2017
